Feature,coef, P>|z|  ,Target
const,3.554,0,Age Adjusted Rate Endocrine
lablack10share,3.7498,0,Age Adjusted Rate Endocrine
lablack20share,-40.9374,0,Age Adjusted Rate Endocrine
lahisp10share,-0.8742,0.013,Age Adjusted Rate Endocrine
lahisp20share,6.2135,0,Age Adjusted Rate Endocrine
lahunv10share,-10.7067,0,Age Adjusted Rate Endocrine
lahunv20share,-1.9444,0.594,Age Adjusted Rate Endocrine
lasnap10share,4.8851,0,Age Adjusted Rate Endocrine
lasnap20share,-4.7155,0.03,Age Adjusted Rate Endocrine
lawhite10share,2.1341,0,Age Adjusted Rate Endocrine
lawhite20share,-7.0882,0,Age Adjusted Rate Endocrine
lalowi10share,4.5053,0,Age Adjusted Rate Endocrine
lalowi20share,-8.9029,0,Age Adjusted Rate Endocrine
lapop10share,-2.3477,0,Age Adjusted Rate Endocrine
lapop20share,9.788,0,Age Adjusted Rate Endocrine
const,0.709,0,Age Adjusted Rate Obesity
lablack10share,-132.6553,0.636,Age Adjusted Rate Obesity
lablack20share,7994.7704,0.69,Age Adjusted Rate Obesity
lahisp10share,-767.1411,0.05,Age Adjusted Rate Obesity
lahisp20share,3118.1314,0.678,Age Adjusted Rate Obesity
lahunv10share,-424.9622,0.737,Age Adjusted Rate Obesity
lahunv20share,1347.964,0.94,Age Adjusted Rate Obesity
lasnap10share,1619.8858,0.037,Age Adjusted Rate Obesity
lasnap20share,2707.978,0.804,Age Adjusted Rate Obesity
lawhite10share,-130.2879,0.531,Age Adjusted Rate Obesity
lawhite20share,341.6239,0.98,Age Adjusted Rate Obesity
lalowi10share,-660.1973,0.104,Age Adjusted Rate Obesity
lalowi20share,-252.9719,0.977,Age Adjusted Rate Obesity
lapop10share,272.1561,0.248,Age Adjusted Rate Obesity
lapop20share,-1391.9966,0.913,Age Adjusted Rate Obesity
const,1.9743,0,Age Adjusted Rate Metabolic
lablack10share,2.2721,0.746,Age Adjusted Rate Metabolic
lablack20share,-381.7015,0.394,Age Adjusted Rate Metabolic
lahisp10share,-37.1956,0,Age Adjusted Rate Metabolic
lahisp20share,44.1941,0.37,Age Adjusted Rate Metabolic
lahunv10share,60.3244,0.001,Age Adjusted Rate Metabolic
lahunv20share,-719.6893,0.011,Age Adjusted Rate Metabolic
lasnap10share,-72.2171,0,Age Adjusted Rate Metabolic
lasnap20share,299.741,0,Age Adjusted Rate Metabolic
lawhite10share,2.3736,0.769,Age Adjusted Rate Metabolic
lawhite20share,-166.098,0.038,Age Adjusted Rate Metabolic
lalowi10share,28.7364,0.002,Age Adjusted Rate Metabolic
lalowi20share,-277.201,0,Age Adjusted Rate Metabolic
lapop10share,4.7858,0.591,Age Adjusted Rate Metabolic
lapop20share,228.0304,0.022,Age Adjusted Rate Metabolic
const,3.216,0,Age Adjusted Rate Diabetes
lablack10share,6.9161,0,Age Adjusted Rate Diabetes
lablack20share,-95.2403,0,Age Adjusted Rate Diabetes
lahisp10share,1.3705,0.019,Age Adjusted Rate Diabetes
lahisp20share,3.3144,0.059,Age Adjusted Rate Diabetes
lahunv10share,-4.7749,0.017,Age Adjusted Rate Diabetes
lahunv20share,-5.4309,0.314,Age Adjusted Rate Diabetes
lasnap10share,4.6654,0,Age Adjusted Rate Diabetes
lasnap20share,4.1174,0.204,Age Adjusted Rate Diabetes
lawhite10share,3.9875,0,Age Adjusted Rate Diabetes
lawhite20share,-6.3258,0,Age Adjusted Rate Diabetes
lalowi10share,4.7698,0,Age Adjusted Rate Diabetes
lalowi20share,-7.5522,0.009,Age Adjusted Rate Diabetes
lapop10share,-3.9216,0,Age Adjusted Rate Diabetes
lapop20share,6.8981,0,Age Adjusted Rate Diabetes
const,5.5562,0,Age Adjusted Rate Circulatory
lablack10share,1.7616,0,Age Adjusted Rate Circulatory
lablack20share,2.84,0,Age Adjusted Rate Circulatory
lahisp10share,-0.5611,0,Age Adjusted Rate Circulatory
lahisp20share,0.7065,0,Age Adjusted Rate Circulatory
lahunv10share,-2.6639,0,Age Adjusted Rate Circulatory
lahunv20share,3.0865,0,Age Adjusted Rate Circulatory
lasnap10share,2.9067,0,Age Adjusted Rate Circulatory
lasnap20share,-3.1551,0,Age Adjusted Rate Circulatory
lawhite10share,1.3107,0,Age Adjusted Rate Circulatory
lawhite20share,-1.8073,0,Age Adjusted Rate Circulatory
lalowi10share,2.5304,0,Age Adjusted Rate Circulatory
lalowi20share,-4.1474,0,Age Adjusted Rate Circulatory
lapop10share,-2.3794,0,Age Adjusted Rate Circulatory
lapop20share,3.1275,0,Age Adjusted Rate Circulatory
const,1.6402,0,Age Adjusted Rate Pulmonary
lablack10share,251.1017,0,Age Adjusted Rate Pulmonary
lablack20share,-5514.8987,0,Age Adjusted Rate Pulmonary
lahisp10share,91.1869,0,Age Adjusted Rate Pulmonary
lahisp20share,-830.4397,0,Age Adjusted Rate Pulmonary
lahunv10share,-38.2487,0.52,Age Adjusted Rate Pulmonary
lahunv20share,-890.4464,0.008,Age Adjusted Rate Pulmonary
lasnap10share,-50.4983,0.177,Age Adjusted Rate Pulmonary
lasnap20share,521.5881,0.005,Age Adjusted Rate Pulmonary
lawhite10share,246.2089,0,Age Adjusted Rate Pulmonary
lawhite20share,-1612.2375,0,Age Adjusted Rate Pulmonary
lalowi10share,-14.2713,0.45,Age Adjusted Rate Pulmonary
lalowi20share,-776.4143,0.007,Age Adjusted Rate Pulmonary
lapop10share,-211.0024,0,Age Adjusted Rate Pulmonary
lapop20share,1875.4465,0,Age Adjusted Rate Pulmonary
const,2.3128,0,Age Adjusted Rate Arteries
lablack10share,26.6604,0,Age Adjusted Rate Arteries
lablack20share,-418.3053,0.197,Age Adjusted Rate Arteries
lahisp10share,-71.6357,0,Age Adjusted Rate Arteries
lahisp20share,164.8477,0,Age Adjusted Rate Arteries
lahunv10share,-82.9898,0,Age Adjusted Rate Arteries
lahunv20share,440.0902,0.006,Age Adjusted Rate Arteries
lasnap10share,15.016,0.044,Age Adjusted Rate Arteries
lasnap20share,336.7379,0,Age Adjusted Rate Arteries
lawhite10share,27.8696,0,Age Adjusted Rate Arteries
lawhite20share,-128.0441,0,Age Adjusted Rate Arteries
lalowi10share,17.258,0,Age Adjusted Rate Arteries
lalowi20share,-249.8959,0,Age Adjusted Rate Arteries
lapop10share,-21.8608,0,Age Adjusted Rate Arteries
lapop20share,138.4166,0.001,Age Adjusted Rate Arteries
const,3.0578,0,Age Adjusted Rate Hypertension
lablack10share,10.8736,0,Age Adjusted Rate Hypertension
lablack20share,16.3688,0.342,Age Adjusted Rate Hypertension
lahisp10share,-8.0275,0,Age Adjusted Rate Hypertension
lahisp20share,35.4369,0,Age Adjusted Rate Hypertension
lahunv10share,-42.1438,0,Age Adjusted Rate Hypertension
lahunv20share,-19.3101,0.44,Age Adjusted Rate Hypertension
lasnap10share,-3.0053,0.053,Age Adjusted Rate Hypertension
lasnap20share,-18.5845,0.034,Age Adjusted Rate Hypertension
lawhite10share,6.7417,0,Age Adjusted Rate Hypertension
lawhite20share,-28.6443,0,Age Adjusted Rate Hypertension
lalowi10share,8.4452,0,Age Adjusted Rate Hypertension
lalowi20share,3.5601,0.629,Age Adjusted Rate Hypertension
lapop10share,-3.7555,0.001,Age Adjusted Rate Hypertension
lapop20share,14.2749,0.054,Age Adjusted Rate Hypertension
const,4.2536,0,Age Adjusted Rate External
lablack10share,0.1401,0.148,Age Adjusted Rate External
lablack20share,-18.2367,0,Age Adjusted Rate External
lahisp10share,0.4017,0.006,Age Adjusted Rate External
lahisp20share,-1.2216,0.002,Age Adjusted Rate External
lahunv10share,-2.4175,0,Age Adjusted Rate External
lahunv20share,7.5543,0,Age Adjusted Rate External
lasnap10share,2.1835,0,Age Adjusted Rate External
lasnap20share,-6.3478,0,Age Adjusted Rate External
lawhite10share,0.9419,0,Age Adjusted Rate External
lawhite20share,0.4662,0.145,Age Adjusted Rate External
lalowi10share,1.8001,0,Age Adjusted Rate External
lalowi20share,3.2438,0,Age Adjusted Rate External
lapop10share,-0.6867,0,Age Adjusted Rate External
lapop20share,-0.6471,0.2,Age Adjusted Rate External
